eudract_number,arms,controlled,crossover,double_blind,open,parallel_group,randomised,single_blind
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000536-40,,Yes,No,Yes,No,Yes,Yes,No
2008-000536-40,,Yes,No,Yes,No,Yes,Yes,No
2008-000536-40,,Yes,No,Yes,No,Yes,Yes,No
2008-000536-40,,Yes,No,Yes,No,Yes,Yes,No
2008-000536-40,,Yes,No,Yes,No,Yes,Yes,No
2008-000585-22,No,No,No,No,No,No,No,No
2008-000615-15,2+,Yes,No,No,Yes,Yes,Yes,No
2008-000615-15,2+,Yes,No,No,Yes,Yes,Yes,No
2008-000615-15,2+,Yes,No,No,Yes,Yes,Yes,No
2008-000615-15,2+,Yes,No,No,Yes,Yes,Yes,No
2008-000615-15,2+,Yes,No,No,Yes,Yes,Yes,No
2008-000615-15,2+,Yes,No,No,Yes,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000701-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-000879-26,Unknown,Yes,No,Yes,No,Yes,Yes,No
2008-000879-26,Unknown,Yes,No,Yes,No,Yes,Yes,No
2008-000879-26,Unknown,Yes,No,Yes,No,Yes,Yes,No
2008-000879-26,Unknown,Yes,No,Yes,No,Yes,Yes,No
2008-000879-26,Unknown,Yes,No,Yes,No,Yes,Yes,No
2008-000879-26,Unknown,Yes,No,Yes,No,Yes,Yes,No
2008-000879-26,Unknown,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001211-37,2+,Yes,No,Yes,No,Yes,Yes,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001212-20,,No,No,No,Yes,No,No,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001252-52,2+,Yes,No,Yes,No,No,Yes,No
2008-001421-34,,No,No,No,No,No,No,No
2008-001421-34,,No,No,No,No,No,No,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001451-21,2+,Yes,No,No,Yes,Yes,Yes,No
2008-001674-32,Yes,No,No,No,No,Yes,Yes,No
2008-001755-22,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-001755-22,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-001755-22,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-001849-26,Yes,Yes,No,No,Yes,No,No,No
2008-002130-30,2+,Yes,No,No,No,Yes,Yes,No
2008-002140-41,,Yes,No,Yes,No,Yes,Yes,No
2008-002226-11,2+,Yes,No,Yes,No,Yes,Yes,No
2008-002356-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-002356-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-002356-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-002356-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-002356-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-002356-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003003-31,null,Yes,No,No,Yes,No,Yes,No
2008-003174-18,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003314-97,2+,Yes,No,Yes,No,Yes,Yes,No
2008-003617-27,2+,Yes,No,No,Yes,Yes,Yes,No
2008-003617-27,2+,Yes,No,No,Yes,Yes,Yes,No
2008-003617-27,2+,Yes,No,No,Yes,Yes,Yes,No
2008-003800-73,2+,Yes,No,Yes,No,No,Yes,No
2008-003800-73,2+,Yes,No,Yes,No,No,Yes,No
2008-003800-73,2+,Yes,No,Yes,No,No,Yes,No
2008-003800-73,2+,Yes,No,Yes,No,No,Yes,No
2008-003800-73,2+,Yes,No,Yes,No,No,Yes,No
2008-003800-73,2+,Yes,No,Yes,No,No,Yes,No
2008-003931-19,string,No,No,No,Yes,No,Yes,No
2008-003931-19,string,No,No,No,Yes,No,Yes,No
2008-003931-19,string,No,No,No,Yes,No,Yes,No
2008-003931-19,string,No,No,No,Yes,No,Yes,No
2008-003931-19,string,No,No,No,Yes,No,Yes,No
2008-003995-23,string,Yes,No,No,Yes,Yes,Yes,No
2008-003997-17,null,Yes,No,No,Yes,Yes,Yes,No
2008-004148-35,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004148-35,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004148-35,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004148-35,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004148-35,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004148-35,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004148-35,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004338-26,string,Yes,No,No,Yes,Yes,Yes,No
2008-004338-26,string,Yes,No,No,Yes,Yes,Yes,No
2008-004338-26,string,Yes,No,No,Yes,Yes,Yes,No
2008-004496-22,string,No,No,No,Yes,No,No,No
2008-004496-22,string,No,No,No,Yes,No,No,No
2008-004496-22,string,No,No,No,Yes,No,No,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004758-34,Yes,Yes,No,No,Yes,Yes,Yes,No
2008-004802-14,2+,Yes,No,No,Yes,Yes,Yes,No
2008-004802-14,2+,Yes,No,No,Yes,Yes,Yes,No
2008-005011-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-005011-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-005011-18,2+,Yes,No,No,Yes,Yes,Yes,No
2008-005056-24,,Yes,No,Yes,No,Yes,Yes,No
2008-005056-24,,Yes,No,Yes,No,Yes,Yes,No
2008-005056-24,,Yes,No,Yes,No,Yes,Yes,No
2008-005056-24,,Yes,No,Yes,No,Yes,Yes,No
2008-005056-24,,Yes,No,Yes,No,Yes,Yes,No
2008-005056-24,,Yes,No,Yes,No,Yes,Yes,No
2008-005084-34,2+,Yes,No,Yes,No,Yes,Yes,No
2008-005084-34,2+,Yes,No,Yes,No,Yes,Yes,No
2008-005084-34,2+,Yes,No,Yes,No,Yes,Yes,No
2008-005084-34,2+,Yes,No,Yes,No,Yes,Yes,No
2008-005084-34,2+,Yes,No,Yes,No,Yes,Yes,No
2008-005084-34,2+,Yes,No,Yes,No,Yes,Yes,No
2008-005084-34,2+,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005215-17,,Yes,No,Yes,No,Yes,Yes,No
2008-005232-33,string,Yes,No,No,Yes,Yes,Yes,No
2008-005232-33,string,Yes,No,No,Yes,Yes,Yes,No
2008-005232-33,string,Yes,No,No,Yes,Yes,Yes,No
2008-005232-33,string,Yes,No,No,Yes,Yes,Yes,No
2008-005232-33,string,Yes,No,No,Yes,Yes,Yes,No
2008-005232-33,string,Yes,No,No,Yes,Yes,Yes,No
2008-005276-27,,Yes,No,No,Yes,Yes,Yes,No
2008-005276-27,,Yes,No,No,Yes,Yes,Yes,No
2008-005276-27,,Yes,No,No,Yes,Yes,Yes,No
2008-005276-27,,Yes,No,No,Yes,Yes,Yes,No
2008-005276-27,,Yes,No,No,Yes,Yes,Yes,No
2008-005276-27,,Yes,No,No,Yes,Yes,Yes,No
2008-005276-27,,Yes,No,No,Yes,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006021-14,Yes,Yes,No,Yes,No,Yes,Yes,No
2008-006181-28,,No,No,No,No,No,No,No
2008-006181-28,,No,No,No,No,No,No,No
2008-006181-28,,No,No,No,No,No,No,No
2008-006181-28,,No,No,No,No,No,No,No
2008-006181-28,,No,No,No,No,No,No,No
2008-006181-28,,No,No,No,No,No,No,No
2008-006300-27,NA,No,NA,NA,NA,NA,NA,NA
2008-006300-27,NA,No,NA,NA,NA,NA,NA,NA
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006439-12,2+,Yes,No,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006801-17,2+,Yes,Yes,No,Yes,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006831-10,2+,Yes,No,Yes,No,Yes,Yes,No
2008-006871-60,string,Yes,No,No,Yes,Yes,Yes,No
2008-006871-60,string,Yes,No,No,Yes,Yes,Yes,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-006954-17,Yes,Yes,No,No,Yes,No,No,No
2008-007008-27,string,No,No,No,Yes,Yes,Yes,No
2008-007008-27,string,No,No,No,Yes,Yes,Yes,No
2008-007008-27,string,No,No,No,Yes,Yes,Yes,No
2008-007008-27,string,No,No,No,Yes,Yes,Yes,No
2008-007008-27,string,No,No,No,Yes,Yes,Yes,No
2008-007008-27,string,No,No,No,Yes,Yes,Yes,No
2008-007008-27,string,No,No,No,Yes,Yes,Yes,No
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007087-42,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2008-007609-36,string,Yes,No,Yes,No,Yes,Yes,No
2008-007645-31,Yes,No,No,No,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-007969-23,2+,Yes,No,Yes,No,Yes,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008004-41,2+,Yes,No,Yes,No,No,Yes,No
2008-008198-73,Yes,Yes,No,No,Yes,Yes,No,No
2008-008198-73,Yes,Yes,No,No,Yes,Yes,No,No
2008-008198-73,Yes,Yes,No,No,Yes,Yes,No,No
2008-008198-73,Yes,Yes,No,No,Yes,Yes,No,No
2009-010143-13,string,Yes,No,No,Yes,No,Yes,No
2009-010390-21,string,Yes,No,No,Yes,No,Yes,No
2009-010403-84,string,Yes,No,No,Yes,Yes,Yes,No
2009-010760-42,2+,Yes,No,No,No,Yes,No,No
2009-010760-42,2+,Yes,No,No,No,Yes,No,No
2009-010966-47,2+,Yes,No,Yes,No,Yes,Yes,No
2009-011056-21,Yes,Yes,Yes,No,Yes,No,Yes,No
2009-011056-21,Yes,Yes,Yes,No,Yes,No,Yes,No
2009-011056-21,Yes,Yes,Yes,No,Yes,No,Yes,No
2009-011056-21,Yes,Yes,Yes,No,Yes,No,Yes,No
2009-011056-21,Yes,Yes,Yes,No,Yes,No,Yes,No
2009-011056-21,Yes,Yes,Yes,No,Yes,No,Yes,No
2009-011056-21,Yes,Yes,Yes,No,Yes,No,Yes,No
2009-011252-22,Yes,Yes,No,No,Yes,Yes,Yes,No
2009-011454-17,No,No,No,No,No,No,No,No
2009-011454-17,No,No,No,No,No,No,No,No
2009-011454-17,No,No,No,No,No,No,No,No
2009-011898-33,Yes,Yes,No,No,No,No,No,No
2009-011902-41,null,Yes,No,No,Yes,No,No,No
2009-011925-14,2+,Yes,No,No,Yes,Yes,Yes,No
2009-011925-14,2+,Yes,No,No,Yes,Yes,Yes,No
2009-011925-14,2+,Yes,No,No,Yes,Yes,Yes,No
2009-011925-14,2+,Yes,No,No,Yes,Yes,Yes,No
2009-011925-14,2+,Yes,No,No,Yes,Yes,Yes,No
2009-011925-14,2+,Yes,No,No,Yes,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012007-25,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012432-32,2+,Yes,No,No,Yes,Yes,Yes,No
2009-012432-32,2+,Yes,No,No,Yes,Yes,Yes,No
2009-012432-32,2+,Yes,No,No,Yes,Yes,Yes,No
2009-012432-32,2+,Yes,No,No,Yes,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-012500-11,2+,Yes,No,Yes,No,Yes,Yes,No
2009-013174-41,2+,Yes,Yes,Yes,Yes,Yes,Yes,No
2009-013174-41,2+,Yes,Yes,Yes,Yes,Yes,Yes,No
2009-013174-41,2+,Yes,Yes,Yes,Yes,Yes,Yes,No
2009-013174-41,2+,Yes,Yes,Yes,Yes,Yes,Yes,No
2009-013174-41,2+,Yes,Yes,Yes,Yes,Yes,Yes,No
2009-013174-41,2+,Yes,Yes,Yes,Yes,Yes,Yes,No
2009-013174-41,2+,Yes,Yes,Yes,Yes,Yes,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-013435-38,Yes,Yes,No,No,Yes,No,Yes,No
2009-014383-18,1,No,No,No,Yes,No,No,No
2009-014476-21,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015114-22,2+,Yes,No,No,No,Yes,Yes,Yes
2009-015119-42,Yes,Yes,No,No,Yes,Yes,Yes,No
2009-015122-11,2+,Yes,No,No,Yes,No,Yes,No
2009-015407-47,2+,Yes,No,No,Yes,No,Yes,No
2009-015407-47,2+,Yes,No,No,Yes,No,Yes,No
2009-015407-47,2+,Yes,No,No,Yes,No,Yes,No
2009-015407-47,2+,Yes,No,No,Yes,No,Yes,No
2009-015407-47,2+,Yes,No,No,Yes,No,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015459-25,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-015476-98,2+,Yes,No,No,Yes,Yes,Yes,No
2009-016047-19,2+,Yes,No,No,Yes,No,Yes,No
2009-016047-19,2+,Yes,No,No,Yes,No,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016217-23,2+,Yes,No,Yes,No,Yes,Yes,No
2009-016584-10,2+,Yes,No,No,Yes,Yes,Yes,No
2009-016584-10,2+,Yes,No,No,Yes,Yes,Yes,No
