eudract_number,randomised,crossover,parallel_group,open,single_blind,double_blind,controlled,arms,active_comparator,placebo
2005-003100-11,No,No,No,No,No,No,No,,,
2005-003101-85,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003104-11,No,No,No,Yes,No,No,Yes,,No,No
2005-003107-36,No,,,,,,No,,,
2005-003115-74,Yes,No,No,No,No,Yes,Yes,,Yes,Yes
2005-003119-62,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003119-62,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003119-62,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003119-62,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003122-25,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003129-23,Yes,No,No,No,No,Yes,Yes,2+,Yes,Yes
2005-003132-21,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003136-22,Yes,No,Yes,No,No,Yes,Yes,,,
2005-003136-22,Yes,No,Yes,No,No,Yes,Yes,,,
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003137-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003138-16,No,No,Yes,Yes,No,No,Yes,,No,No
2005-003139-38,No,No,No,Yes,No,No,No,,No,No
2005-003140-56,Yes,No,No,No,No,Yes,Yes,,,Yes
2005-003142-34,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003144-65,Yes,,Yes,,,Yes,Yes,,,Yes
2005-003145-13,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003145-13,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003146-33,Yes,No,Yes,Yes,No,No,No,,No,No
2005-003148-79,Yes,No,No,No,No,Yes,Yes,,Yes,No
2005-003156-35,Yes,No,No,Yes,No,No,Yes,,Yes,No
2005-003158-91,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003158-91,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003158-91,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003158-91,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003158-91,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003158-91,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003158-91,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003158-91,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003160-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003160-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003160-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003160-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003160-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003160-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003162-42,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003164-35,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003164-35,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003164-35,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003166-42,No,No,No,Yes,No,No,Yes,,No,No
2005-003171-21,Yes,Yes,No,No,No,Yes,Yes,,No,Yes
2005-003173-24,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003173-24,Yes,,Yes,Yes,,,Yes,,Yes,No
2005-003173-24,Yes,,Yes,Yes,,,Yes,,Yes,No
2005-003176-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003176-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003176-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003177-24,Yes,No,Yes,No,No,No,Yes,,No,No
2005-003180-23,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003181-41,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2005-003181-41,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2005-003181-41,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2005-003182-16,Yes,,,,,Yes,Yes,,Yes,Yes
2005-003184-23,No,,,Yes,,,Yes,,,
2005-003187-32,No,,,Yes,,,No,,,
2005-003194-24,Yes,No,Yes,No,No,No,Yes,,Yes,No
2005-003194-24,Yes,No,Yes,No,No,No,Yes,,Yes,No
2005-003195-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003196-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003197-17,Yes,Yes,No,No,No,Yes,Yes,,No,No
2005-003201-81,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003209-10,No,No,No,No,No,No,No,,No,No
2005-003211-69,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003214-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003214-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003214-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003214-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003214-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003215-78,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2005-003215-78,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2005-003215-78,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2005-003215-78,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2005-003216-30,Yes,No,No,No,No,No,No,,No,No
2005-003216-30,Yes,No,Yes,Yes,No,No,No,,No,No
2005-003216-30,Yes,No,No,No,No,No,No,,No,No
2005-003216-30,Yes,No,No,No,No,No,No,,No,No
2005-003216-30,Yes,No,No,No,No,No,No,,No,No
2005-003216-30,Yes,No,No,No,No,No,No,,No,No
2005-003216-30,Yes,No,No,No,No,No,No,,No,No
2005-003217-32,No,No,No,No,No,No,No,,,
2005-003219-66,Yes,,,,,,Yes,,No,Yes
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003220-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003228-20,No,No,No,No,No,No,No,,No,No
2005-003228-20,No,No,No,No,No,No,No,,No,No
2005-003230-18,Yes,Yes,No,No,No,Yes,Yes,,Yes,
2005-003231-46,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003232-21,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003232-21,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003232-21,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003232-21,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003232-21,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003233-41,Yes,No,No,Yes,No,No,Yes,,No,No
2005-003233-41,Yes,No,No,Yes,No,No,Yes,,No,No
2005-003233-41,Yes,No,No,Yes,No,No,Yes,,No,No
2005-003242-34,Yes,No,Yes,No,No,Yes,Yes,2+,Yes,Yes
2005-003243-31,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003245-14,Yes,No,No,Yes,No,No,Yes,,No,No
2005-003248-75,No,,,,,,No,,,
2005-003249-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003250-98,No,No,No,Yes,No,No,Yes,,No,No
2005-003251-13,No,No,No,No,No,No,No,,No,No
2005-003254-10,No,No,No,No,No,No,No,,,
2005-003258-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003258-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003258-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003258-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003258-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003258-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003264-38,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003265-16,,,,,,,No,,,
2005-003265-16,,,,,,,No,,,
2005-003265-16,,,,,,,No,,No,No
2005-003265-16,Yes,,,,,,No,,No,No
2005-003269-17,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003270-14,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003270-14,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003270-14,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003270-14,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003271-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003272-38,No,No,No,No,No,No,No,,No,No
2005-003275-20,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003275-20,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003275-20,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003275-20,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003275-20,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003275-20,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003279-18,No,No,No,Yes,No,No,Yes,,No,No
2005-003281-41,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003282-16,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003282-16,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003284-22,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003284-22,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003284-22,Yes,No,No,Yes,No,No,Yes,,Yes,No
2005-003284-22,Yes,No,No,Yes,No,No,Yes,,Yes,No
2005-003284-22,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003284-22,Yes,No,No,Yes,No,No,Yes,,Yes,No
2005-003284-22,Yes,No,No,Yes,No,No,Yes,,Yes,No
2005-003285-42,Yes,No,No,Yes,No,Yes,Yes,,Yes,No
2005-003286-17,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003286-17,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003286-17,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003286-17,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003286-17,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003287-28,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003288-21,,,,,,,,,No,No
2005-003290-25,Yes,No,Yes,Yes,No,Yes,Yes,,No,Yes
2005-003290-25,Yes,No,Yes,Yes,No,Yes,Yes,,No,Yes
2005-003293-25,No,No,No,No,No,No,No,,,
2005-003295-38,Yes,Yes,No,No,No,Yes,Yes,,Yes,No
2005-003297-13,Yes,,,,,Yes,Yes,,No,Yes
2005-003299-40,Yes,No,No,No,Yes,No,Yes,,Yes,No
2005-003300-11,Yes,No,No,No,No,No,Yes,,Yes,No
2005-003302-28,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003305-90,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003305-90,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003307-36,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003312-29,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003318-13,Yes,No,,Yes,No,No,Yes,,No,No
2005-003319-64,Yes,Yes,,,,Yes,Yes,,,
2005-003321-57,No,,,,,,No,,,
2005-003324-19,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003324-19,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003325-67,Yes,No,Yes,Yes,No,No,Yes,,Yes,
2005-003327-39,Yes,,,Yes,,,Yes,,No,No
2005-003331-44,Yes,No,Yes,No,Yes,No,Yes,,Yes,No
2005-003337-40,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003337-40,Yes,No,No,Yes,No,No,Yes,,No,No
2005-003337-40,Yes,No,No,Yes,No,No,Yes,,No,No
2005-003344-62,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003347-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003349-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003349-15,Yes,,,,,Yes,Yes,,,Yes
2005-003350-99,Yes,Yes,,,Yes,,Yes,,Yes,
2005-003351-12,No,No,No,Yes,No,No,Yes,,No,No
2005-003351-12,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003351-12,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003351-12,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003351-12,No,No,No,Yes,No,No,Yes,,No,No
2005-003351-12,No,No,No,Yes,No,No,Yes,,No,No
2005-003351-12,No,No,No,Yes,No,No,Yes,,No,No
2005-003351-12,Yes,No,Yes,No,No,Yes,Yes,2+,No,Yes
2005-003351-12,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003351-12,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003351-12,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003354-10,No,No,No,No,No,No,No,,,
2005-003354-10,No,No,No,No,No,No,No,,,
2005-003355-12,Yes,No,No,No,No,No,No,,No,No
2005-003357-27,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003357-27,Yes,No,No,Yes,No,No,Yes,,Yes,No
2005-003360-26,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003360-26,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003367-23,Yes,,Yes,No,No,Yes,Yes,,No,Yes
2005-003367-23,Yes,,Yes,No,No,Yes,Yes,,No,Yes
2005-003367-23,Yes,,Yes,No,No,Yes,Yes,,No,Yes
2005-003369-17,No,No,Yes,No,No,No,Yes,,,
2005-003370-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003370-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003370-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003374-24,Yes,,,,,,Yes,,,
2005-003376-37,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003376-37,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003381-41,Yes,No,No,No,Yes,No,Yes,,Yes,No
2005-003382-16,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003382-16,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003382-16,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003383-39,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003387-28,Yes,No,No,Yes,Yes,No,Yes,,Yes,No
2005-003391-37,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003396-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003396-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003396-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003396-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003400-11,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003400-11,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003400-11,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003400-11,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003401-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003401-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003401-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003401-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003401-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003401-87,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003402-29,Yes,No,No,No,No,Yes,Yes,,No,No
2005-003403-36,No,No,No,No,No,No,,,No,No
2005-003406-28,No,Yes,No,Yes,No,No,Yes,,No,No
2005-003409-98,No,No,No,No,No,No,No,,No,No
2005-003410-15,Yes,Yes,No,No,No,Yes,Yes,,No,Yes
2005-003411-75,,,,Yes,,,Yes,,,
2005-003413-32,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003413-32,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003413-32,Yes,,,Yes,,,Yes,,Yes,
2005-003413-32,Yes,,,Yes,,,Yes,,Yes,
2005-003413-32,Yes,,,Yes,,,Yes,,Yes,
2005-003413-32,Yes,,,Yes,,,Yes,,Yes,
2005-003413-32,Yes,No,No,Yes,No,No,Yes,,Yes,No
2005-003414-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003414-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003414-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003415-71,Yes,,,,,,Yes,,,
2005-003415-71,Yes,,,,,,Yes,,,
2005-003415-71,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003415-71,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003415-71,Yes,,,,,,Yes,,,
2005-003415-71,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003416-30,No,No,No,No,No,No,No,1,,
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003417-32,Yes,,,,,,Yes,,,
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003417-32,Yes,,,,,,Yes,,,
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003417-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2005-003422-26,Yes,No,No,Yes,No,No,Yes,,No,No
2005-003432-22,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,Yes
2005-003434-18,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003434-18,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003434-18,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003434-18,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003434-18,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003434-18,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003435-40,Yes,No,Yes,Yes,No,Yes,Yes,,No,Yes
2005-003436-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003436-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003436-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003436-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003437-41,Yes,No,Yes,Yes,No,No,No,,No,No
2005-003437-41,Yes,No,Yes,Yes,No,No,No,,No,No
2005-003437-41,Yes,No,Yes,Yes,No,No,No,,No,No
2005-003438-17,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,No,Yes,No,No,Yes,Yes,2+,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003440-66,Yes,,Yes,,,Yes,Yes,,Yes,No
2005-003441-13,Yes,Yes,Yes,Yes,,,Yes,,No,No
2005-003442-33,Yes,,,,,Yes,Yes,,No,Yes
2005-003442-33,Yes,,,,,Yes,Yes,,No,Yes
2005-003443-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003443-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003443-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003443-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003443-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003443-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003443-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003444-53,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003449-15,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003450-10,No,No,No,No,No,No,No,,No,No
2005-003458-81,Yes,,Yes,Yes,No,No,Yes,,Yes,No
2005-003459-12,Yes,No,No,No,No,Yes,Yes,2+,No,Yes
2005-003459-12,Yes,No,No,No,No,Yes,Yes,2+,No,Yes
2005-003459-12,Yes,No,No,No,No,Yes,Yes,2+,No,Yes
2005-003459-12,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003459-12,Yes,No,No,No,No,Yes,Yes,2+,No,Yes
2005-003459-12,Yes,No,No,No,No,Yes,Yes,2+,No,Yes
2005-003459-12,Yes,No,No,No,No,Yes,Yes,,No,Yes
2005-003459-12,Yes,No,No,No,No,Yes,Yes,2+,No,Yes
2005-003460-35,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003463-23,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003464-30,Yes,Yes,No,No,No,Yes,Yes,,No,Yes
2005-003469-18,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003469-18,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003469-18,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003469-18,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003469-18,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003471-20,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003471-20,Yes,No,Yes,No,No,Yes,Yes,2+,No,Yes
2005-003475-20,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003475-20,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003479-19,No,No,No,Yes,No,No,Yes,,No,No
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003481-42,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003482-17,Yes,No,Yes,No,No,Yes,No,,No,No
2005-003482-17,Yes,No,Yes,No,No,Yes,No,,No,No
2005-003482-17,Yes,No,No,No,No,Yes,No,,No,No
2005-003482-17,Yes,No,No,No,No,Yes,No,,No,No
2005-003482-17,Yes,No,Yes,No,No,Yes,No,,No,No
2005-003483-31,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003484-23,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2005-003485-42,No,No,No,Yes,No,No,Yes,,No,No
2005-003485-42,No,No,No,Yes,No,No,Yes,,No,No
2005-003485-42,No,No,No,No,No,No,No,,,
2005-003485-42,No,No,No,Yes,No,No,Yes,,No,No
2005-003485-42,No,No,No,Yes,No,No,Yes,,No,No
2005-003485-42,No,No,No,Yes,No,No,Yes,,No,No
2005-003488-22,No,,,No,,,No,,,
2005-003492-20,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003493-19,No,,,,,,No,,,
2005-003493-19,No,No,No,No,No,No,No,1,,
2005-003493-19,No,,,,,,No,,,
2005-003494-25,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003494-25,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003494-25,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003494-25,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003495-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003495-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003495-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003495-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003495-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003495-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2005-003496-20,Yes,No,Yes,Yes,No,No,Yes,,No,No
2005-003501-90,No,No,No,No,No,No,Yes,,No,No
2005-003504-11,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003504-11,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003504-11,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003504-11,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2005-003505-85,No,,,,,,No,,,
2005-003508-12,Yes,No,No,No,No,Yes,Yes,,Yes,Yes
2005-003508-12,Yes,No,No,No,No,Yes,Yes,,Yes,Yes
2005-003508-12,Yes,No,No,No,No,Yes,Yes,,Yes,Yes
2005-003510-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003510-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003510-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2005-003510-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
